id_camion,orden_parada,nodo_ine,paquetes,km_tramo,tiempo_tramo_min,tiempo_acumulado_min,Id_Transportista,Centro_Origen
356,1,Inicio_Amazon_SVQ1,0,0.0,40.0,40.0,356,Amazon_SVQ1
356,2,1100404,56,171.94,115.74,323.74,356,Amazon_SVQ1
356,3,1100802,11,5.855605013071896,7.026726015686275,363.7667260156863,356,Amazon_SVQ1
356,4,Regreso_Amazon_SVQ1,0,170.46,115.2,478.9667260156863,356,Amazon_SVQ1
357,1,Inicio_Amazon_SVQ1,0,0.0,40.0,40.0,357,Amazon_SVQ1
357,2,1100501,32,90.82,77.06,213.06,357,Amazon_SVQ1
357,3,1100502,8,2.657786762330796,3.1893441147969552,240.24934411479697,357,Amazon_SVQ1
357,4,1104201,12,6.896182271286631,8.275418725543958,284.52476284034094,357,Amazon_SVQ1
357,5,1101801,5,9.066523063207248,10.879827675848697,310.4045905161896,357,Amazon_SVQ1
357,6,1101901,17,9.868463964021364,11.842156756825636,373.2467472730153,357,Amazon_SVQ1
357,7,1101101,3,12.451205747275191,14.941446896730229,397.1881941697455,357,Amazon_SVQ1
357,8,Regreso_Amazon_SVQ1,0,90.44,80.12,477.3081941697455,357,Amazon_SVQ1
358,1,Inicio_Amazon_SVQ1,0,0.0,40.0,40.0,358,Amazon_SVQ1
358,2,1100601,45,101.82,73.27,248.26999999999998,358,Amazon_SVQ1
358,3,1100602,53,0.277527196066289,0.3330326352795468,407.60303263527953,358,Amazon_SVQ1
358,4,Regreso_Amazon_SVQ1,0,79.06,71.8,479.40303263527954,358,Amazon_SVQ1
359,1,Inicio_Amazon_SVQ1,0,0.0,40.0,40.0,359,Amazon_SVQ1
359,2,1100602,57,79.06,71.8,282.8,359,Amazon_SVQ1
359,3,1100604,38,2.933178212523441,3.5198138550281293,400.31981385502814,359,Amazon_SVQ1
359,4,1101002,1,6.659963083124507,7.991955699749408,411.3117695547775,359,Amazon_SVQ1
359,5,Regreso_Amazon_SVQ1,0,78.0,65.77,477.0817695547775,359,Amazon_SVQ1
360,1,Inicio_Amazon_SVQ1,0,0.0,40.0,40.0,360,Amazon_SVQ1
360,2,1100603,42,100.49,70.19,236.19,360,Amazon_SVQ1
360,3,1100604,8,7.61336355032838,9.136036260394055,269.32603626039406,360,Amazon_SVQ1
360,4,1101002,29,6.659963083124507,7.991955699749408,364.31799196014344,360,Amazon_SVQ1
360,5,1101001,16,0.3648568247467833,0.43782818969613996,412.75582014983956,360,Amazon_SVQ1
360,6,Regreso_Amazon_SVQ1,0,77.21,65.27,478.02582014983955,360,Amazon_SVQ1
361,1,Inicio_Amazon_SVQ1,0,0.0,40.0,40.0,361,Amazon_SVQ1
361,2,1100701,51,155.24,109.58,302.58,361,Amazon_SVQ1
361,3,1100702,22,0.352337002867611,0.4228044034411332,369.00280440344113,361,Amazon_SVQ1
361,4,Regreso_Amazon_SVQ1,0,155.67,110.27,479.2728044034411,361,Amazon_SVQ1
362,1,Inicio_Amazon_SVQ1,0,0.0,40.0,40.0,362,Amazon_SVQ1
362,2,1100702,45,155.67,110.27,285.27,362,Amazon_SVQ1
362,3,1100703,27,1.019171154315961,1.2230053851791531,367.4930053851791,362,Amazon_SVQ1
362,4,Regreso_Amazon_SVQ1,0,156.08,110.74,478.2330053851791,362,Amazon_SVQ1
363,1,Inicio_Amazon_SVQ1,0,0.0,40.0,40.0,363,Amazon_SVQ1
363,2,1100703,1,156.08,110.74,153.74,363,Amazon_SVQ1
363,3,1100704,24,5.011222504833083,6.0134670057997,231.7534670057997,363,Amazon_SVQ1
363,4,1103902,42,10.984564019753538,13.181476823704246,370.93494382950394,363,Amazon_SVQ1
363,5,1102301,1,22.633041466098874,27.15964975931865,401.0945935888226,363,Amazon_SVQ1
363,6,1102305,1,0.9932882150352567,1.191945858042308,405.2865394468649,363,Amazon_SVQ1
363,7,Regreso_Amazon_SVQ1,0,107.64,74.45,479.73653944686487,363,Amazon_SVQ1
364,1,Inicio_Amazon_SVQ1,0,0.0,40.0,40.0,364,Amazon_SVQ1
364,2,1100801,77,153.73,103.25,374.25,364,Amazon_SVQ1
364,3,Regreso_Amazon_SVQ1,0,153.73,103.25,477.5,364,Amazon_SVQ1
365,1,Inicio_Amazon_SVQ1,0,0.0,40.0,40.0,365,Amazon_SVQ1
365,2,1100801,77,153.73,103.25,374.25,365,Amazon_SVQ1
365,3,Regreso_Amazon_SVQ1,0,153.73,103.25,477.5,365,Amazon_SVQ1
366,1,Inicio_Amazon_SVQ1,0,0.0,40.0,40.0,366,Amazon_SVQ1
366,2,1100801,20,153.73,103.25,203.25,366,Amazon_SVQ1
366,3,1100803,47,10.615581828344459,12.73869819401335,356.98869819401335,366,Amazon_SVQ1
