lat,lon,nombre
37.3446144,-5.82215,12B
37.3496305,-5.8384198,11A
37.2928686,-5.947527,553
37.289539,-5.8746657,11
37.516339,-4.6287521,40
37.4172858,-4.4993283,nodo_878923531
37.5383179,-4.651375,36
37.5373903,-4.648378,36
37.5068419,-5.374917,482
37.5062327,-5.3777315,482
37.4068721,-4.530783,56
37.3233292,-7.0724046,99
37.7160014,-4.8671291,424
37.6780911,-4.9324373,432
37.7148239,-4.8731199,424
37.6569373,-4.9525514,434
37.6044512,-4.9704939,441
37.6078484,-4.9683009,441
37.5961511,-4.9764505,441
37.5257655,-5.2280462,468
37.5242466,-5.2401979,468
37.5272414,-5.2647881,471
37.5199348,-5.3135689,475
37.5246126,-5.305533,475
37.5103714,-5.3534713,480
37.5088206,-5.4143627,484
37.5097062,-5.4040268,484
37.5095673,-5.3593054,480
37.508496,-5.4223465,487
37.5038163,-5.4470534,487
37.4946427,-5.4750621,491
37.4905834,-5.4857237,491
37.4892707,-5.5078768,494
37.4850256,-5.5176798,494
37.5244049,-5.1298334,459
37.5237239,-5.1360602,459
37.5226577,-5.1893328,464
37.5231302,-5.1984377,464
37.5250539,-5.1207386,457
37.2468786,-5.0177997,92
37.2499888,-5.0096208,92
37.2575851,-4.9866178,95
37.2591915,-4.9789146,95
37.2649579,-4.9588081,97
36.7723473,-5.8141754,27
36.7699237,-5.8340403,24
37.1594096,-5.9097613,24
37.3606017,-4.4912772,62
37.3565639,-4.4900435,62
38.3746497,-6.3336004,687
38.024539,-6.2228731,730
37.9511844,-6.2305928,741
37.945318,-6.2284195,741
37.6263758,-6.1416166,782
37.6286874,-6.1460375,782
36.6946923,-4.4600652,6
37.294033,-4.8998079,103
36.4885135,-4.7273756,nodo_910439213
36.4888662,-4.7222418,nodo_910439245
36.6459284,-4.5130229,998
36.5152341,-4.8648503,184
36.5211296,-4.8651616,nodo_915705537
36.5136845,-4.9324089,1047
36.4846297,-4.9836418,1053
36.4729998,-5.0058592,1055
36.7192247,-4.6693964,49
36.7173892,-4.6657528,49
37.3409831,-6.5564625,1
37.3372386,-6.5546835,1
37.5228388,-5.2565858,471
37.3346979,-7.0267738,94
37.130399,-4.2873448,0
37.1154133,-4.3895224,167
37.0837252,-4.4569237,160
37.0658055,-4.5267232,98
37.0464556,-4.5121281,102
37.0185769,-4.3893118,16
37.0527691,-4.3634624,11
37.3144058,-7.4884307,3
37.3231534,-6.5401832,3
37.7633981,-6.16586,765
37.7727937,-6.1706504,765
37.9211268,-6.2258877,745
36.2030789,-5.5173165,80
37.1655225,-4.1818128,188
36.2614342,-5.5838037,70
38.0253809,-4.1661397,335
37.3412282,-5.9279069,4A
38.1728745,-4.9996157,nodo_946210140
38.1708347,-4.9969149,nodo_946210165
38.1740521,-5.0020981,nodo_946210215
37.6944104,-4.7415717,16
37.6859695,-4.746148,16
37.9223327,-4.7651256,nodo_952245870
37.9167021,-4.7597734,nodo_952245976
37.905668,-4.6087797,385
37.2421632,-7.4556436,1
36.6116756,-6.2068845,nodo_960792737
36.6888557,-6.1985247,23
36.6891076,-6.1989732,22
36.6908804,-6.2055931,22
36.6960162,-6.2171845,21
36.693631,-6.212146,21
36.715591,-6.2491528,17
36.7174042,-6.256321,17
