Nombre,Latitud,Longitud,Municipio,Tipo,Area_Ha,Descripcion,pendiente_pct,enp_dist_m,agua_dist_m,usos_dist_m,dist_autopista_km,autopista_cercana,cobertura_pct,poblacion_30km,dist_competencia_km,estacion_cercana,subst_dist_m,subst_encontrada,desv_centroide_km,concentracion_30km_pct,dist_nucleo_km,nucleo_cercano,motivos_rechazo,aprobado,eliminado_dedup
Polígono Industrial Camino Morente,38.005693,-4.385068,Córdoba,industrial,21.24,OSM: industrial | 21.2 ha | Córdoba,5.0,,,,0.3,359,12.4,42859,41.85,Correos Express Hub Córdoba,5254,True,33.61,6.9,36.96,Córdoba,F1(pendiente=5.0%),False,False
Polígono Industrial El Olmo,38.00412,-4.415293,Córdoba,industrial,21.22,OSM: industrial | 21.2 ha | Córdoba,7.67,,,,1.39,364,12.7,43573,39.47,Correos Express Hub Córdoba,2934,True,31.72,6.8,34.43,Córdoba,F1(pendiente=7.7%),False,False
Poligono_Industrial_040,36.290053,-6.068625,Cádiz,industrial,21.07,OSM: industrial | 21.1 ha | Cádiz,5.33,2515,257,,1.19,26,24.1,302269,38.07,Amazon El Puerto de Santa María (Cádiz),281,True,22.46,27.3,32.89,Cádiz,F1(pendiente=5.3%),False,False
Central Térmica de Arcos,36.671985,-5.815949,Cádiz,industrial,20.89,OSM: industrial | 20.9 ha | Cádiz,2.0,,95,,9.31,20,26.3,288463,36.7,Amazon El Puerto de Santa María (Cádiz),297,True,19.64,23.2,28.65,Jerez de la Frontera,F3(Agua a 95 m (mín 140 m)),False,False
Estación de Tratamiento de Agua Potable Montañes,36.520722,-6.04309,Cádiz,industrial,20.88,OSM: industrial | 20.9 ha | Cádiz,8.0,,,,5.21,17,22.3,676629,18.66,Amazon El Puerto de Santa María (Cádiz),5195,True,9.06,68.0,19.8,Jerez de la Frontera,F1(pendiente=8.0%),False,False
Polígono Industrial Los Cantosales,37.37674,-5.73667,Sevilla,industrial,20.77,OSM: industrial | 20.8 ha | Sevilla,7.33,,,194,7.13,nodo_249567328,45.2,1442129,17.1,SEUR Hub Sevilla,2589,True,14.95,76.5,21.53,Dos Hermanas,F1(pendiente=7.3%) | F4(residential a 194 m (mín 200 m)),False,False
Polígono Industrial Fuente Sol,37.378861,-5.7289,Sevilla,industrial,20.68,OSM: industrial | 20.7 ha | Sevilla,4.33,,,224,7.54,nodo_249567328,45.2,1373242,17.8,SEUR Hub Sevilla,2668,True,15.49,73.1,22.2,Dos Hermanas,F1(pendiente=4.3%),False,False
Polígono Industrial Bansur,37.380071,-5.891627,Sevilla,industrial,20.62,OSM: industrial | 20.6 ha | Sevilla,2.0,,,,0.4,5,45.2,1544511,3.57,SEUR Hub Sevilla,1875,True,5.41,82.0,7.84,Dos Hermanas,,True,True
Polígono Industrial Guadial,37.364824,-6.247762,Sevilla,industrial,20.55,OSM: industrial | 20.6 ha | Sevilla,1.67,1073,265,254,1.81,23,47.9,1314024,23.72,Amazon DSP Sevilla,427,True,13.34,67.1,23.6,Sevilla,,True,True
Poligono_Industrial_041,37.16343,-6.895397,Huelva,industrial,20.52,OSM: industrial | 20.5 ha | Huelva,3.67,,94,,5.89,nodo_9034942679,12.1,310827,83.63,Amazon DSP Sevilla,1715,True,11.77,58.1,11.97,Huelva,F1(pendiente=3.7%) | F3(Agua a 94 m (mín 140 m)),False,False
